OLL Course,edX Subject 1,edX Subject 2,edX Subject 3,MITxO Primary Parent,MITxO Primary Child,MITxO Adopted Secondary Child ,OCW Pointer Page Topic 1,OCW Pointer Page Topic 2,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,,Level,Offered by,Language,readable_id,title,url,description,published,License CC,Duration,Student Effort,Course Image URL,Course Image URL Flat
18.031,,,,Science & Math,Mathematics,Algorithms and Data Structures,,,Philip Pearce,,,,,,,Undergraduate,OCW,English,OCW+18.031+2019_Spring,System Functions and the Laplace Transform,https://openlearninglibrary.mit.edu/courses/course-v1:OCW+18.031+2019_Spring/about,Scientists and engineers understand the world through differential equations. You can too.,YES,YES,13,6,https://openlearninglibrary.mit.edu/asset-v1:OCW+18.031+2019_Spring+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:OCW+18.031+2019_Spring+type@asset+block@course_image.jpg
18.05,,,,Science & Math,Mathematics,Data Science,,,Jeremy Orloff,Jennifer French Kamrin,,,,,,Undergraduate,OCW,English,MITx+18.05r_10+2022_Summer,Introduction to Probability and Statistics,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+18.05r_10+2022_Summer/about,"This course provides an elementary introduction to probability and statistics with applications. Topics include basic combinatorics, random variables, probability distributions, Bayesian inference, hypothesis testing, confidence intervals, and linear regression.

These same course materials, including interactive components (online reading questions and problem checkers) are available on MIT's Open Learning Library, which is free to use. You have the option to enroll and track your progress, or you can view and use the materials without enrolling.",YES,YES,14,14,https://openlearninglibrary.mit.edu/asset-v1:MITx+18.05r_10+2022_Summer+type@asset+block@mit18_05_s22_chp.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+18.05r_10+2022_Summer+type@asset+block@mit18_05_s22_chp.jpg
0.501x,Education & Teacher Training,,,Education & Teaching,Pedagogy and Curriculum,Digital Learning,,,Justin Reich,Elizabeth Huttner-Loan,Alyssa Napier,,,,,Graduate,MITx,English,MITx+0.501x+2T2019,Envisioning the Graduate of the Future,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+0.501x+2T2019/about,Embark on a collaborative and exploratory design process to reflect on the purpose of secondary school. Create a shareable artifact that conveys what you and your community believe a secondary school graduate should know and be able to do.,YES,YES,4,4,https://openlearninglibrary.mit.edu/asset-v1:MITx+0.501x+2T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+0.501x+2T2019+type@asset+block@course_image.jpg
0.502x,Education & Teacher Training,,,Education & Teaching,Educational Policy,Digital Learning,,,Justin Reich,Elizabeth Huttner-Loan,,,,,,Undergraduate,MITx,English,MITx+0.502x+1T2019,Competency-Based Education,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+0.502x+1T2019/about,"An overview of competency-based education in schools, presenting ideas, inspiration, strategies, and challenges. ",YES,YES,6,,https://openlearninglibrary.mit.edu/asset-v1:MITx+0.502x+1T2019+type@asset+block@course_image.png,https://openlearninglibrary.mit.edu/asset-v1:MITx+0.502x+1T2019+type@asset+block@course_image.png
0.503x,Education & Teacher Training,,,Education & Teaching,Pedagogy and Curriculum,Digital Learning,,,Justin Reich,H. Richard Milner IV,,,,,,Undergraduate,MITx,English,MITx+0.503x+T2020,Becoming a More Equitable Educator,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+0.503x+T2020/about,"Explore mindsets and practices that help all students, especially underserved students, to thrive and feel valued.",YES,YES,15,4,https://openlearninglibrary.mit.edu/asset-v1:MITx+0.503x+T2020+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+0.503x+T2020+type@asset+block@course_image.jpg
0.504x,Education & Teacher Training,,,Education & Teaching,Pedagogy and Curriculum,Digital Learning,,,Justin Reich,Sam Wineburg,,,,,,Undergraduate,MITx,English,MITx+0.504x+3T2020,Sorting Truth From Fiction: Civic Online Reasoning,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+0.504x+3T2020/about,"Learn teaching practices that help students become savvy consumers of digital information.

Online misinformation is an urgent challenge faced by every country around the globe. Multiple studies have shined a light on people's difficulty in distinguishing truth from fiction, reliable information from sham. As we approach the November 2020 election, we can expect our screens to be flooded, even more so, with digital content that plays fast and loose with the truth.

With educators from around the world and faculty from MIT and Stanford University, you will learn quick and effective practices for evaluating information online that you can bring back to your classroom. These practices have been distilled from observations with professional fact-checkers from the nation's most prestigious media outlets from across the political spectrum. Through reading activities, classroom practice lessons and assignments, you will learn how to teach the skills needed for making thoughtful judgments about online content.

At the end of the course, you will have a better understanding of strategies to enhance your students' ability to evaluate information and to avoid common pitfalls of misinformation at a time when we need it most.",YES,,8.7,4,https://openlearninglibrary.mit.edu/asset-v1:MITx+0.504x+3T2020+type@asset+block@course_image.png,https://openlearninglibrary.mit.edu/asset-v1:MITx+0.504x+3T2020+type@asset+block@course_image.png
0.SolveX,Business & Management,,,Business & Management,Entrepreneurship,Digital Learning ,,,Anjali Sastry,,,,,,,Undergraduate,MITx,English,MITx+0.SolveX+2T2021,Business and Impact Planning for Social Enterprises,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+0.SolveX+2T2021/about,"Are you a social entrepreneur? Learn how to describe and share your potential impact, theory of change, plans to scale with a global community. This course is run by Solve, an initiative of MIT that advances social entrepreneurs and early-stage startups solving the world?s most pressing challenges.",YES,,6.4,4,https://openlearninglibrary.mit.edu/asset-v1:MITx+0.SolveX+2T2021+type@asset+block@course_image.png,https://openlearninglibrary.mit.edu/asset-v1:MITx+0.SolveX+2T2021+type@asset+block@course_image.png
11.154x,Education & Teacher Training,,,Education & Teaching,Faculty Leadership,Educational Technology,,,Justin Reich,Peter Senge,,,,,,Graduate,MITx,English,MITx+11.154x+3T2018,Launching Innovation in Schools,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+11.154x+3T2018/about,Become a change leader and take the first step towards launching initiatives to improve teaching and learning.,YES,,13,2,https://openlearninglibrary.mit.edu/asset-v1:MITx+11.154x+3T2018+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+11.154x+3T2018+type@asset+block@course_image.jpg
11.155x,Education & Teacher Training,,,Education & Teaching,Educational Policy,Systems Thinking,,,Justin Reich,Elizabeth Huttner-Loan,Alyssa Napier,,,,,Graduate,MITx,English,MITx+11.155x+1T2019,Design Thinking for Leading and Learning,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+11.155x+1T2019/about,A hands-on course for education leaders to learn about design thinking and explore how it can transform classroom learning and school communities.,YES,,6,5,https://openlearninglibrary.mit.edu/asset-v1:MITx+11.155x+1T2019+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+11.155x+1T2019+type@asset+block@course_image.jpg
11.405x,Business & Management,,,Social Sciences,Economics,Urban Studies,,,J. Phillip Thompson,Katrin Kaeufer,Lily Steponaitis,Calvin Thompson,,,,Undergraduate,MITx,English,MITx+11.405x+2T2020,Just Money: Banking as if Society Mattered,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+11.405x+2T2020/about,Learn how banks can use capital as a tool to promote social and environmental wellbeing.,YES,,25.3,3.5,https://openlearninglibrary.mit.edu/asset-v1:MITx+11.405x+2T2020+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+11.405x+2T2020+type@asset+block@course_image.jpg
11.550x,Engineering,,,Engineering ,Systems Engineering,Urban Studies,,,Chris Zegras,Robin Chase,"Natalia Barbour,",,,,,Undergraduate,MITx,English,MITx+11.550x+1T2021,Leveraging Urban Mobility Disruptions to Create Better Cities,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+11.550x+1T2021/about,"This course aims to bridge the knowledge gap between academically oriented content, practice, and entrepreneurship and teach urban mobility through the lens of dynamic reality on-the-ground.",YES,,10.1,6,https://openlearninglibrary.mit.edu/asset-v1:MITx+11.550x+1T2021+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+11.550x+1T2021+type@asset+block@course_image.jpg
12.340x,Energy & Earth Sciences,,,Science & Math,Earth Science,Climate Science ,,,Kerry Emanuel,Dan Cziczo,David McGee,,,,,Undergraduate,MITx,English,MITx+12.340x+1T2020,Global Warming Science,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+12.340x+1T2020/about,"Learn about the physics, chemistry, biology, and geology of the earth's climate system.",YES,,13.3,10,https://openlearninglibrary.mit.edu/asset-v1:MITx+12.340x+1T2020+type@asset+block@course_image.jpg,https://openlearninglibrary.mit.edu/asset-v1:MITx+12.340x+1T2020+type@asset+block@course_image.jpg
